REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ
22990;GANGAZUMBA PRODUCOES CINEMATOGRAFICAS E ARTISTICAS LTDA - EPP;45014669000170
23003;DIGITAL VIDEO BRASIL LTDA ME;08813390000120
23004;BAIAO DE DOIS FILMES LTDA - ME;09473743000153
23013;ELDORADO ARTE DIGITAL LTDA ME;02124979000135
23014;H2O SPORTS LTDA - ME;09613832000158
23015;VENTUS FILMES LTDA;03085550000149
23018;CESAR FERNANDO MICHEL;14922228000143
23020;MAISON DU CINEMA PRODUCOES AUDIOVISUAIS LTDA - ME;09085894000134
23024;ALTERNETMUSIC PRODUCAO E GRAVACAO LTDA ­ EPP;03441018000117
23026;ANA PAULA DANTAS ILGES - EPP;14607560000113
23034;VIDEO-TRACK LTDA - ME;54937669000133
23035;FRACTAL FILMES LTDA ME;16997404000131
23043;PLINIO AUGUSTO BARCELOS VIDAL - PRODUÇÕES - ME;64764335000169
2305;D' BOA COMUNICACAO EIRELI - EPP;01206673000165
23060;N FILMES PRODUCOES ARTISTICAS LTDA.;11986156000100
23061;ID PRODUCAO DE FILMES EIRELI - ME;17227393000173
23066;KARAM & SANTOS ESTÚDIOS E FILMES LTDA - ME;13203234000188
23069;ETCÉTERA AUDIOVISUAL EIRELI - ME;17110726000180
2307;FRANCISCO AUGUSTO DE MESQUITA;06081287000108
23071;COMEX PRODUTORA - EIRELI - ME;14973425000191
2309;V1 CINEVÍDEO LTDA;05918956000190
23090;ADF - PRODUÇÃO CINEMATOGRÁFICA LTDA.;14237045000199
23097;FRANCISCO DE ASSIS POGIAN PRODUÇÕES ME;07929424000184
23099;BIG STUDIOS 3D IMAGES LTDA - EPP;06233115000102
23104;SP ZOOM MULTIMEDIA LTDA. - ME;09134770000100
23106;VISAGEM SERVICO DE PRODUCAO DE VIDEO LTDA - ME;13931232000105
23109;VTCINE DIGITAL PRODUÇÃO E FINALIZAÇÃO CINEMATOGRAFICA LTDA-EPP;16100499000149
23112;VENTANA FILMES LTDA - ME;16417265000120
23121;SEUFILME PRODUCOES AUDIOVISUAIS LTDA;17192316000125
23122;OCA CONTENT PRODUÇÕES S.A.;17205861000109
23148;RSJ MACHADO PRODUÇÕES ME;13237723000150
23149;INDEX PRODUTORA LTDA ME;16526750000131
23152;GAMA PRODUÇÕES, EVENTOS E COMUNICAÇÃO LTDA ME;15225835000117
23154;PILULA FILMES PRODUTORA LTDA ME;13185560000100
23163;BRUNO LEITE RUSSI MAIA 05801854606;15288803000160
2317;CINTRA PRODUCOES ARTISTICAS EIRELI;05606114000101
23171;M.F. BUSATO EIRELI - ME;07889327000105
23174;ARUANDA FILMES LTDA;13473132000182
23178;MCT PRODUÇÕES SERVIÇOS DE EQUIPAMENTOS AUDIOVISUAIS E EVENTOS LTDA;01607700000101
23180;OSS PRODUÇÕES LTDA ME;10502952000167
23181;SIGLAVIVA COMUNICACAO E DESIGN EIRELI-ME;17026874000110
23189;ROSA FILMES LTDA - EPP;17079995000120
23190;ULYSSES CUNHA PAIVA FILMES - ME;17416993000180
23196;DIADORIM FILMES LTDA-ME;17096738000105
23197;YCARO PRATA PRODUCOES;05931440000186
23198;VALDIR WILSON RODRIGUES PRODUTORA DE TV E CINEMA - ME;16977097000127
232;KINOFILMES PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;01464291000131
2320;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;02395043000149
23202;COCAR FILMES LTDA;17189896000100
23207;LUXOM FILMES LTDA. - ME;04695322000153
23208;IKEBANA PRODUCOES ARTISTICAS E CULTURAIS LTDA. - ME;09485982000123
2321;IMAGO FILMES EIRELI - EPP;01879093000139
23215;AKTIVA PRODUTORA LTDA ME;14367829000131
23216;MUVIOLA FILMES LTDA;16820127000197
23219;FALLKNER RIBEIRO BORGES - PRODUÇÕES - ME;14865072000106
2322;RISCO FILMES LTDA;03563229000122
23228;AMORIM LIMA & SOUZA AMORIM LTDA - ME;17018931000110
23229;TEM DENDE PRODUCOES LTDA - ME;15128758000187
2323;FRANCISCO EUDES VIEIRA-ME;01450331000196
23230;MOLOTOV FILMES E PRODUÇÕES LTDA.;17430831000104
23232;CLAREAR PRODUÇÕES ARTÍSTICAS LTDA - ME;10648652000190
23233;ITINERANTE FILMES CINE VIDEO COMERCIAL LTDA - ME;16955538000190
23245;TROPICAL FILMES LTDA;17453109000187
23249;TAZ PRODUCOES LTDA;10454417000188
23251;JARINA FILMES LTDA;14622284000162
23264;ARTE RUPESTRE AUDIOVISUAL LTDA ME;13986262000119
23271;PUKSAR PRODUTORA DE FILMES EIRELI ME;16603000000116
23285;OLHO CINE TV LTDA;17322664000170
23299;CARVALHO DELUQUI PRODUÇÃO E COMUNICAÇÃO LTDA;57831331000190
23304;FERNANDA RIZZO EVENTOS E PRODUCOES LTDA;06013655000180
23308;NERY E SANTOS AUDIOVISUAL PRODUTORA LTDA. - ME;17249816000156
23313;MIDIA CENTRAL PRODUÇÕES DE IMAGENS E TEXTOS LTDA;10549402000101
23324;CABANA FILMES E PRODUCOES CULTURAIS LTDA - ME;09556286000160
23325;THIAGO LUZ DA SILVA PUBLICIDADE;15449641000103
23336;OSMOSE FILMES LTDA;16505730000184
2334;CARVALHO ADAMS PRODUÇÕES ARTÍSTICAS LTDA.	;31604127000143
2335;DAMA CINE PRODUÇÕES EIRELI;04644702000169
23354;AUTONAUTA PRODUÇÕES CULTURAIS LTDA;05765198000118
23359;PAULO HENRIQUE DONATO MOREIRA;06937818000111
23360;APOCALIPSO PRODUÇÕES LTDA ME;14334992000106
23361;DOMINGUES & MELO PRODUÇÕES LTDA ME;15014984000137
23362;COLETIVO NAVEGANTES PRODUÇÕES ARTISTICAS LTDA;11196194000169
23364;JEFF & SPORTS MARKETING E COMUNICAÇÃO;06935870000139
23374;RONALDO LUIZ BERNARDI;11891475000131
23377;MARÉ ALTA COMUNICAÇÃO EIRELI;15456655000146
23385;TMPF FILMES IMAGENS E PRODUCOES LTDA - ME;13079867000126
23391;PEPPERLAND PRODUÇÕES LTDA;12278399000156
23393;BATTAGLIA PRODUCOES - EIRELI;11023904000159
23397;ARENA 7 FILMES LTDA;17474411000111
234;I & C COMUNICAÇÃO ELETRÔNICA LTDA;74362336000130
2341;BOGOTA FILMES LTDA;05972660000158
23410;BLACK DOOR PRODUÇÕES CINEMATOGRAFICAS LTDA.;17535098000184
23430;POP PRODUCOES DE FILMES E VIDEO LTDA EPP;17540207000151
23431;ESFFERA FILMES PRODUÇÕES EIRELI ME;17552763000148
23432;F. R. DAMASCENO;16456567000107
23433;CAICO PRODUTORA DE CONTEÚDO AUDIOVISUAL E SERVIÇOS DE COMUNICAÇÃO LTDA.;56802747000118
23434;AGRIDOCE FILMES PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;16861733000150
23438;MEGA COMERCIO E SERVIÇOS LTDA;11982842000102
23440;SERRANO FOTOS E PRODUCOES LTDA;07473254000176
23446;52 ANIMATION STUDIO COMÉRCIO E LICENCIAMENTO LTDA - ME;15873295000188
23448;DANIEL BORGES SILVEIRA 01397280662 ME;12101060000180
23453;CLAP STUDIO PRODUCOES LTDA - ME;10678681000103
23455;PLURAL COMUNICACAO AUDIO VISUAL EIRELI;24831356000135
23456;CINCO DA NORTE-SERVIÇOS AUDIOVISUAIS LTDA-ME;13044728000167
23462;ENTRE FILMES PRODUCOES LTDA - ME;16957757000108
23490;LITTLE BOX FILMES - ME;13617555000129
23493;BUBBLES PRODUÇÕES ARTÍSTICAS LTDA;14440714000125
23509;GREEN PLANET STUDIOS PRODUÇÕES DE VIDEO EDITORA E SERVIÇOS DE EDUCAÇÃO AMBIENTAL LTDA;13404221000177
23512;PPR PRODUÇÕES ARTISTICAS LTDA;05021559000111
23530;KOI FACTORY PRODUÇÕES CRIATIVAS LTDA;17325547000160
23552;MATHIAS & JACOBS LTDA;15073013000168
23553;SJ PRODUÇÕES E FILMES LTDA;13037157000133
23581;MIDIA Z PRODUCOES LTDA - ME;17252551000145
23582;HALLYWOOD - SOLUÇÕES DIGITAIS - EIRELI - EPP;17162833000151
23585;P3 PRODUÇÕES LTDA;14574635000107
23591;ESTUDIO ZIP PRODUÇÃO AUDIOVISUAL LTDA ME;12675057000170
23594;VOS PRODUCOES CULTURAIS E ARTISTICAS EIRELI;13899769000135
23599;DAFINA PRODUÇÕES LTDA.;17497250000181
23600;QUARTO ZERO PRODUCOES ARTISTICAS LTDA - ME;15737537000106
23614;J M COVRE COMUNICAÇÃO E MARKETING EIRELI - ME.;01232815000169
23617;HUOL CRIAÇÕES E PRODUÇÕES ARTÍSTICAS LTDA;02371838000117
23618;GROCH FILMES LTDA - ME.;12062760000102
23623;JONATHAS HENRIQUE DE MAGALHÂES -ME;06020074000176
23624;MENTEFERTIL COMUNICAÇÃO & IMAGEM LTDA;17540673000137
23625;PROVIDEO - PRODUCAO AUDIO VISUAL - EIRELI;13411332000100
23628;MANIFESTO MULTIMIDIA LTDA - ME;11332121000157
23630;GATO SECO PRODUÇÕES LTDA.;16529516000168
23633;DDK DIGITAL LTDA - EPP;17713833000100
23638;EMBAUBA FILMES LTDA;15144532000170
23653;WAHBA FILMES LTDA;04760897000102
23658;DNS COMUNICAÇÃO LTDA EPP;03043912000139
23659;IDEIAS AO VENTO PORDUÇÕES ARTÍSTICAS E CULTURAIS LTDA - ME;09536942000163
2366;CAMALEON FILMS E PRODUÇÕES AUDIOVISUAIS LTDA;06175230000178
23672;SANTA MARIA VÍDEO PRODUTORA LTDA;06240389000129
23674;FRANCIJONY BELTRÃO AYRES;02347506000105
23678;JOB PRODUCOES EIRELI - EPP;10694971000132
23679;ESTRELA E CAMPAL LTDA - ME;17403785000146
23680;DOMA 02 VIDEO E FOTOGRAFIA LTDA - ME;16755256000149
23682;PROCINE PRODUTORA DE VÍDEO E COMUNICAÇÃO LTDA-ME;10464547000100
23686;A. P. C. GARCIA DE SOUZA PUBLICIDADE;13536988000150
23688;TAKE PRODUCOES DE FILMES LTDA - ME;04284377000170
23689;DANILO SANCHES ZANOTTO - ME;05528804000181
23695;COLORCINE PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;17608659000128
23697;CRIOULA CAMERA PRODUTORA DE FILMES LTDA;13559040000110
23700;BLACK NOVA INTERATIVA COMUNICAÇÃO LTDA - ME;11305931000114
23703;CONTRA PAREDE PRODUÇÕES EIRELI;13125622000198
23705;JOÃO DE BARROS FILMES LTDA;14219247000108
23709;TUBARAO ESTÚDIO PRODUÇÃO E DISTRIBUIÇÃO CINEMATOGRAFICA LTDA-EPP;17703164000188
23712;FAROL PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;08733661000138
23716;ATLANTICO SUL IMAGENS LTDA - ME;10197059000175
23724;CS PRODUÇÕES E FILMES LTDA.;17363840000111
23725;BLUE DOG FILMES LTDA - ME;14165196000189
23726;JL PRODUÇÕES LTDA - ME;15170882000100
23727;RODRIGO ROMEIRO ASFORA;14303241000114
23730;TRÓPICO AUDIOVISUAL LTDA - ME;17223211000196
23731;MAURO LUCIO ARAUJO PIANTA EIRELI;16366836000144
23735;GOES & RIBEIRO LTDA.;13275606000181
23736;SPLIT CRIAÇÕES AUDIOVISUAIS LTDA;17811379000112
23739;ESTUDIO ETER COMPUTACAO GRAFICA LTDA - ME;10436864000104
23740;LUIZ FELIPE DE ARAUJO CASADIO - ME;15329544000179
23754;TIA MARIA FILMES LTDA - ME;09374330000111
23759;MADRE FILMES - MULTIMÍDIA LTDA;13247725000120
23761;TALANTON PRODUCAO CINEMATOGRAFICA LTDA;13072174000101
23766;CINEBOUTIQUE CAMERA LUZES RENTAL EIRELI;13878620000170
23781;PARALELO 30 - CINEMA E TV EIRELI - ME;17767631000133
23785;DETALHE FILMES E PROPAGANDA LTDA-ME;09344137000138
23786;ASSOCIAÇÃO DOS ARTISTAS AMIGOS DOS SATYROS;13236990000103
23790;QI LIVRE LTDA - ME;10501937000102
23795;PARNAIOCA CINEMATOGRÁFICA LTDA - ME;10278879000191
23796;DQKER FILMES EIRELI;17800883000117
23797;SANTOS & MARÇAL LTDA -ME;10669204000173
23804;I M B COSTA MARKETING E EVENTOS - EPP;13830137000115
23805;LAYEPAS PRODUÇÕES ARTÍSTICAS EIRELI;01770674000138
23809;051 CINE & VIDEO LTDA. - EPP;17659837000140
23811;ROYAL PRODUCOES INTERATIVAS LTDA - ME;17457930000171
23812;511 FILMES LTDA;17618761000104
23835;FLAVIO MONTEIRO DO NASCIMENTO ME;09493821000181
23836;BLG COMUNICAÇÃO E PRODUÇÃO EIRELI;16366109000187
23849;CAPADÓCIA PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.;09449763000199
23854;CHRISTOFFEL PROMOÇÕES E PRODUÇÕES LTDA;02754586000105
23860;MARIKOTA PRODUTORA E FINALIZADORA DE VIDEO LTDA;17888120000170
23862;SBUSINESS PRODUÇÕES ARTÍSTICAS E COMÉRCIO DE BENS E SERVIÇOS LTDA;14698798000100
23866;DANIEL PARRA MALACHIAS;17868529000124
23871;KAFFE FILMES LTDA - ME;13442650000139
23872;CID KEISHI LAGO MAKINO;09551843000150
23873;DALMO DE OLIVEIRA JUNIOR ME;14137909000109
23881;EXPRESSÃO COLATERAL EDIÇÕES E EVENTOS LTDA;07491067000115
23886;BUENA VISTA PRODUTORA LTDA.;15643021000100
23887;LOBATO EVANGELISTA & CIA LTDA-ME;16743545000128
23888;DOCE FURIA PRODUÇÕES ARTÍSTICAS LTDA;07528463000170
23899;FOLLIA COMUNICAÇÃO LTDA.;17344619000116
23913;ARTRUPE PRODUCOES ARTISTICAS LTDA - ME;15724988000109
23914;MARABERTO FILMES LTDA. - ME;14874206000155
23915;TECHNO IMAGE COMUNICAÇÕES LTDA ME;07229734000196
23916;F64 PRODUÇÕES AUDIOVISUAIS LTDA;17904679000146
23920;D4G COMUNICACAO E DESIGN LTDA;11762230000104
23927;VEMDOSOM SOLUÇÕES AUDIOVISUAIS LTDA ME;17557355000189
23931;LUCIANA SANTANA ROSSI PEIXOTO MORAES;17716634000148
23937;HORNBURGEL PRODUÇÕES LTDA;04941648000113
23939;PANAPANA PRODUCOES ARTISTICAS;14596315000158
23940;PLANETA ALEGRIA COMUNICAÇÕES E PRODUÇÕES DE ÁUDIO E VÍDEO LTDA.;07697771000129
23941;DOM 21 COMUNICACAO E PRODUÇAO LTDA - ME;03543638000167
23942;URBANO PRODUÇÕES & EVENTOS LTDA;17002796000114
23945;ME GUSTA FILMES LTDA ME;09218658000149
23951;MASSARI BURGERS E FILMES LTDA;14070151000120
23961;MUITO MAIS COMUNICACAO LTDA - ME;05355143000130
23966;MUTUCA PRODUCOES ARTISTICAS LTDA;17744924000103
23973;VIVA FILMES LTDA.;17902421000100
23997;CANAZZO COMUNICAÇÃO E MARKETING EIRELI;13935936000156
24011;CHAMON PRODUÇÕES ARTISTICAS E CINEMATOGRAFICAS LTDA - ME;17383231000124
24014;J L DE B BRITO PRODUÇÕES;16605335000173
24016;BELA MAGRELA ASSESSORIA E PUBLICIDADE LTDA - ME;12795346000102
24028;PORTAL 44 PRODUÇÕES ARTÍSTICAS LTDA.;15237805000120
24069;ANIMAPIX PRODUÇÃO E POS-PRODUÇAO DE VIDEOS LTDA - ME;17860839000100
24070;PROSPERIDADE COMUNICAÇÃO E FILMES LTDA;17545702000153
24079;MANUÊ PRODUÇÕES CINEMATOGRAFICAS LTDA;09371854000159
24080;EVERALDO DO CARMO BARBOSA;06320445000135
24093;FCAZ PRODUÇÃO E EVENTOS LTDA-ME;17149199000117
24098;INFOLIVE PRODUÇÕES - EIRELI;17934747000110
24110;11 VISUALS PRODUÇÕES DE FILMES LTDA - ME;17494118000116
24121;PAGANINI PRODUCOES ARTISTICAS LTDA ME;12619515000153
24125;GUAPOZ PRODUCOES ARTISTICAS LTDA;12449463000114
24143;STAROBINAS PRODUÇÕES E COMUNICAÇÃO EIRELI;17227518000165
24151;FAROL PRODUÇÃO E PROJEÇÃO LTDA;09462203000174
24152;KN VIDEO PRODUCOES LTDA;05826683000154
24154;SCANDINAVIA FILMES LTDA;16573469000150
24156;EXTREMUM PRODUCOES CULTURAIS LTDA - ME;08518691000121
24158;NAHMAR PRODUÇÃO DE VÍDEO E PUBLICIDADE LTDA ME;12976369000113
24160;START PRODUÇÕES DE AUDIO E VIDEO EIRELI - ME;17392338000139
24200;PRIMAVERA PRODUCOES AUDIOVISUAIS LTDA ME;13286466000147
24202;LATINA PRODUTORA DE FILMES LTDA;15212597000105
24229;A J MENDES DOS SANTOS - ME;17698485000131
24233;VALERIA LYS RIBEIRO E SILVA - EIRELI - ME;17955884000130
24249;DIY VIDEOS PRODUÇÕES LTDA;15516417000189
24258;PANACEIA PRODUCOES AUDIOVISUAIS LTDE-ME;17942221000181
24267;MIDIA DIGITAL HD LTDA. - ME;13591928000130
24281;BARONG COMÉRCIO E SERVIÇOS EM IMAGENS LTDA;13306305000178
2429;LUNART S/S LTDA;04260031000132
24302;GIOVANNA FIGUEIREDO DE PAULA - CPF 117.350.766-35;11383349000176
24308;OLIVE TREE FILMES LTDA;13008542000152
24309;LIBERTY PICTURES SERVICOS CINEMATOGRAFICOS LTDA - ME;04671639000150
24310;L.D.MARTINS - PRODUCOES PUBLICITARIAS - ME;17532909000193
24329;MMS13 PRODUCOES CINEMATOGRAFICAS LTDA - ME;16586546000106
2433;ZOOM ELEFANTE PRODUÇÃO CINEMATOGRÁFICA LTDA;06768153000160
24336;F Z ANTUNES FOTOGRAFIA E FILME - ME;17891252000150
24346;CINEDIÁRIO PRODUÇÕES CULTURAIS LTDA;17822593000174
24355;INCINE VIDEO LTDA - ME;13230334000101
24356;H E S CARVALHO PRODUTORA ME;03811048000178
2436;FREVO FILMES PRODUCOES E EVENTOS LTDA;06172495000112
24368;RAVEN PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA - ME;18086964000160
24381;PYRA FILMES CONTEUDO ARTISTICO LTDA-ME;17088765000128
24384;HEVERSON CARLOS MIRANDA DOS SANTOS 04380132714;12379149000102
24385;O. T. GUARANY ­ ME;18199963000121
24390;K1 PROPAGANDA EIRELI - ME;18127461000195
24395;PARAKINO PRODUCOES LTDA.;12380610000147
24398;ESTEVES CONSTRUÇÕES E TECNOLOGIA LTDA;17753477000140
24399;BUBBLE, CRIACAO, PRODUCAO E CONSULTORIA LTDA - EPP;11448459000179
24400;E. A. O. MARREIRO - ME;17780210000142
24401;ROSA MELO PRODUÇÕES LTDA - ME;17216655000102
24404;LUIZA RANGEL MARQUES DA COSTA;17267688000173
24409;MOANA FILMES;17576532000174
24410;SPUTNIK STUDIO ILUSTRAÇÃO E ARTES GRÁFICAS LTDA;05503379000176
24414;NOVA COMUNICAÇÃO LTDA;14215682000164
24416;ANDRE NASCIMENTO ARAUJO;12743129000179
24420;STUDIO NOVA ONDA SOM E IMAGEM LTDA;28329084000120
24421;G. OLIVEIRA SANDES STORCHE- ESTUDIO COMUNICAÇÃO - ME;18162501000130
24424;ANTONIA YEDA B. DO COUTO PRODUÇÕES;15651584000132
24439;INTERANIMA PRODUCOES LTDA - ME;17493417000136
24440;A00 PRODUÇÕES LTDA.;18022611000104
24452;ESPACO IMAGINARIO - ARTES, TECNOLOGIA E EDUCACAO LTDA - ME;12907478000189
24455;F A SANTOS JUNIOR;16523685000190
24456;SILENCE PRODUÇÕES EIRELI - ME;07547114000103
24458;PIXEL PRODUÇÕES LTDA.- EPP;18165736000185
24459;BIZZARRO & CIA LTDA - ME;15076716000140
24460;VB PRODUCOES EIRELI - ME;17540017000134
24463;ON AIR LTDA;15319137000180
24493;MAZELAS COMUNICAÇÃO LTDA-ME;13967089000101
24495;UPPER MIDIA COMUNICAÇÃO LTDA;09552388000108
24503;ICUMAM CULTURAL EIRELI;14399728000142
24508;AMORA FILMES LTDA.;17293506000139
24509;MIRARTES FILMES LTDA;15131165000170
24510;APTA PRODUTORA COMUNICAÇÃO E MARKETING LTDA.-ME;17172879000151
24522;JUR PRODUCOES LTDA - ME;17482363000103
24544;SÉRGIO JAEGER JUNIOR ME;91642561000140
24561;CLAKET PRODUÇÕES AUDIO E VIDEO LTDA ME;17967979000174
24578;CADILLAC PRODUÇÕES E FILMES LTDA;18083967000140
24579;VERISSIMO PRODUCOES LTDA - ME;04762163000162
24585;LAGE COMUNICACAO INTEGRADA LTDA;05910312000156
24586;CINEMA MUNDO PRODUÇÕES LTDA ME;13269935000110
24587;MARTE SERVICOS DE PRODUCOES CINEMATOGRAFICAS E ARTISTICAS LTDA - EPP;18207632000196
24589;QUANTA POST FINALIZAÇÃO DE PRODUÇÕES CINEMATOGRÁFICAS LTDA;14690827000189
24594;ESPACIO DE COLOR PRODUTORA AUDIOVISUAL EIRELI;18269405000195
246;MOVIE TRACK CINEMA E TELEVISÃO LTDA;01643609000141
24613;1A CASA PRODUCOES AUDIOVISUAIS E MULTICULTURAIS EIRELI;14958749000150
24616;AGRELA & ARIZA PRODUCOES ARTISTICAS LTDA - ME;03582215000156
24617;TURNEX FILMES LTDA;14173739000100
2462;EMPRESA BRASILEIRA DE COMUNICAÇÃO PRODUÇÃO LTDA;04405242000116
24625;ANIMAZOO ENTRETENIMENTO INFANTIL LTDA - EPP;18053877000106
24627;FORMATA PRODUCOES E CONTEUDO LTDA.;18082113000149
24635;L´AVANT FILMES LTDA.;75908855000114
24644;SAID PRODUÇÕES ARTÍSTICAS L.T.D.A;04068098000170
24645;RAFAEL AUGUSTO ALMEIDA LADEIA ME;12807760000194
24649;JUSSARA PRODUCOES ARTISTICAS EIRELI;15320273000190
24651;R R C R DE OLIVEIRA PRODUCAO DE FILMES - ME;13263338000188
24654;DRAMATICA FILMES - EIRELI;13924232000188
24669;JACARÉ PRODUÇÕES CINEMATOGRÁFICAS LTDA;12985991000198
24671;OLHO DE VIDRO FILMES - EIRELI;14687999000101
24681;EDUARDO PIMENTA PRODUCOES LTDA - ME;15630048000150
24686;ACALANTE FILMES LTDA;18386096000133
24690;NP3 PRODUTORA CINEMATOGRÁFICA LTDA;16642959000160
24702;ATOMICA-POJETOS E PRODUCOES ARTISTICA LTDA - ME;15490163000177
24706;ANDALUZ AUDIOVISUAL;17525476000149
24717;LAGUNA DIGITAL FILMS;17858007000141
24720;ROBERTO OLIVEIRA PRODUCOES;17872465000135
24723;MZM EMPREENDIMENTOS CULTURAIS E CINEMATOGRÁFICOS LTDA;03727368000144
24730;E.N. KHOURI PRODUCOES CINEMATOGRAFICAS - ME;17634195000124
24734;HIME NAVARRO ME;14814063000196
24753;ALLAN GILMOUR RODRIGUES - ME;08094402000104
24772;DANDARA PRODUÇÕES CULTURAIS E AUDIOVISUAIS - LTDA;16684109000125
24774;ERICO FERNANDES P ESTEVES ME;13577974000184
24776;TRK FILMES PRODUÇÕES CINEMATOGRÁFICAS & TEATRAIS LTDA. - EPP;18468960000146
24779;MARCELO OTT BRAGA PRODUÇÕES DE AUDIO E VIDEO;17837052000110
24782;SERGIO ANTONIO KLEIN CALDAS - ME;17339249000129
24793;EMU PRODUÇÕES EIRELI;17465044000190
24797;OPERAHAUS PRODUCOES ARTISTICAS E CULTURAIS LTDA;17831177000132
24798;JONATHAS DE VARGAS - ME;18109714000106
248;CR ENTRETENIMENTO LTDA;66657727000154
24805;THEMA PRODUCOES AUDIOVISUAIS E ARTISTICAS LTDA;09589435000198
24815;VISUAL FACTORY CREATIVE STUDIO EIRELI;14516190000109
24819;R.D.CHREEM PRODUÇÕES ARTISTICA;17577975000180
24823;MR. PLOT PRODUCOES LTDA - EPP;18535516000104
24824;E J NASCIMENTO ALVES - ME;18018670000109
24825;NP & AMN PRODUÇÕES LTDA - ME.;17915584000128
24826;PAGANI GIMENES FILMES LTDA;17139868000170
24830;AGF PRODUÇÕES ARTÍSTICAS LTDA;18243324000116
24851;CONTRAPLANO COMUNICAC¿A¿O LTDA. ­ ME;16961337000103
24863;PLANETARIO FILMES LTDA;16871935000183
24873;DUARTE MACHADO LTDA.;15143899000179
24881;GLEYDSON A. CAETANO STUDIOS - ME.;13625745000198
24884;ALESSANDRO DE FARIAS GUEDES ME;13273176000169
24897;RODOFERRO CONTEÚDO AUDIOVISUAL EIRELI.;17380926000152
24906;MARIO HENRIQUE LISBOA POMPEU;15120661000128
24931;OURIÇO PRODUÇÕES CINEMATOGRÁFICAS E TELEVISIVAS LTDA-ME;17265355000105
24957;TV DEZ PRODUÇÃO EIRELI;10140371000122
24967;ARCTIC VULPE OFICINA VISUAL LTDA ME;18513297000154
24968;BEKO MIDIA DIGITAL LTDA - ME;18541209000128
24972;ONZE ONZE FILMES S/S LTDA;03187993000140
24973;BACKBOARD PRODUÇÕES ARTÍSTICAS LTDA;10208060000158
24989;3LHAMAS PRODUCOES LTDA - EPP;18588416000138
24990;CONTEUDOS COM CONTEUDO CRIACAO E PRODUCAO PARA MULTIMIDIAS LTDA - EPP;07703864000119
24992;ZRG PRODUÇÕES LTDA ME;10697251000120
24997;GOULART FILMES LTDA.;18522915000122
25003;OVO PRODUCOES ARTISTICAS E CULTURAIS EIRELI;14026768000149
25004;LAB3 TV COMUNICAÇÃO DIGITAL EIRELI;09379100000145
25007;VIDEOBES MULTIMIDIA LTDA ­ ME;17483436000181
25008;DIMENTI PRODUÇÕES CULTURAIS LTDA-ME;04965896000102
25013;SKYLINE PRODUCOES EIRELI - ME;18653942000134
25024;CAIO AMON EIRELI;15652650000199
25031;SQUAREPIXEL COMUNICAÇÃO LTDA;11581509000191
25036;PHOSPRO PRODUÇÕES ARTISTICAS;15914158000144
25038;F5 PRODUCOES EIRELI - ME;18500529000130
25040;REIS GALINDO PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME;13895139000192
25056;GENIUS AT WORK PRODUCOES CINEMATOGRAFICAS LTDA;17819406000101
25060;WEBCORE SERVIÇOS LTDA;03344997000195
25062;JOÃO MARCOS WAGNER RIBEIRO MORAES GOMES-ME;17900621000124
25064;CLAUDIO ANTONIO SOUZA DE JESUS ¿ ME;11157228000106
25065;TURBILHAO DE IDEIAS CULTURA E ENTRETENIMENTO LTDA - ME;09535973000108
25080;PINGUIM FILMES LTDA;14287886000100
25086;UTOPICA TRUPE FILMES LTDA ME;18082301000177
2509;E. GURMAN VISUAL - ME;05812082000192
25090;SETESETE COMUNICAÇÃO E IMAGEM LTDA;11613012000108
25091;TOCHA MIDIA E ENTRETENIMENTO - EIRELI;17817664000140
25100;POMMELLA & CIA LTDA - ME;02462175000146
25102;MP ENTRETENIMENTO LTDA;18508357000140
25109;JOVELINA FILMES E PRODUÇÕES LTDA.;15220949000174
25112;SAMUEL FELIX DE LIMA JUNIOR ME;11521213000185
25115;DANIELA GOUVEIA MENEGOTTO - ME;18384267000195
25117;KLIKY COMUNICAÇÃO E PRODUÇÃO CULTURAL EIRELI ME;17130224000110
25118;ANDRE LUIZ DE SOUZA FARIA;80026826000169
25123;MULTIVERSO PRODUCOES AUDIOVISUAIS LTDA - ME;18711744000180
25126;DIADORIM - IDÉIAS E COMUNICAÇÃO LTDA;03380515000152
25129;TRIBUS PRODUTORA LTDA - ME;18603709000147
25131;SUPER 575 AGENCIAMENTO E PRODUÇÕES LTDA ME;18377708000121
25137;KAHUE CAMPION ROZZI-ME;09569029000163
25138;NEW WAVE MEDIA PRODUÇÕES LTDA;12977169000185
25140;ANGU PRODUÇÕES LTDA ME;15755314000171
25143;PLANKTON PRODUCOES DE FILMES LTDA - EPP;18751103000159
25144;CARCARA FILMES E LOCACOES LTDA;12338964000123
25150;CLUBSODA PRODUCAO AUDIOVISUAL LTDA M.E.;13694309000170
25152;SC FILMES LTDA ME;10491941000129
2516;BEM PRODUÇÕES E EVENTOS CULTURAIS LTDA;05426800000192
