REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ
11912;JACKSON CARVALHO DE ALBUQUERQUE;01065807000175
11914;OS MELHORES DO MUNDO PRODUÇÕES ARTÍSTICAS LTDA;01926109000117
11923;RENDER BRASIL PRODUÇÕES EIRELI - EPP;07642548000184
11926;MANDRA FILMES PRODUÇÕES AUDIOVISUAIS LTDA;08394172000107
11931;EDUARDO DIAS SANTANA;07908801000107
11934;MIL CICLOS PRODUÇÃO AUDIOVISUAL LTDA;08578658000197
1194;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01486085000122
11951;CAMPOS RODRIGUES FILMAGENS EIRELI;08505999000132
11954;CINEMASCOPIO PRODUCOES CINEMATOGRAFICAS E ARTISTICAS;08587501000128
11962;CINEMA ELÉTRICO PRODUÇÕES LTDA-ME;07982005000106
11969;JORGE OLIVEIRA DA SILVA COMUNICACAO CONSULTORIA E MARKETING EIRELI - ME;38027546000109
11974;MAREDU MARKETING LTDA ME;00721736000159
11978;ASSOCIAÇÃO CULTURAL PANVISION;02502152000118
11982;CHRISTIAN STAIGER SCHNEIDER;04464531000196
11988;ERA - EMPORIO DE RELACIONAMENTOS ARTISTICOS LTDA;08094916000160
11990;FREDERICO DA CRUZ MACHADO - ME;03553092000125
11994;FONSECA & PAQUETE LTDA.;07495668000104
11995;VEGA FILMES LTDA;07820299000170
11998;GOULART MULLER PRODUÇÃO AUDIOVISUAL LTDA;05813915000130
11999;MOOVIE CONTEÚDO E ENTRETENIMENTO LTDA;08584887000114
12016;SS PRODUCOES E EVENTOS LTDA;96763057000111
12021;G5 COMUNICAÇÃO E MARKETING LTDA;07327951000119
12024;PEREIRA LOPES MULTIMÍDIA S/S LTDA.;08583075000154
12030;PAX FILMES PRODUTORA LTDA EPP;08651642000162
12032;CPTV FILMS E EVENTOS LTDA;08486621000139
12045;FOR ALL PRODUÇÕES CINEMATOGRAFICAS LTDA;07667340000110
12047;DISCA FILMES LTDA ME;03708148000173
12053;PELÍCULA VÍDEO DESIGN LTDA;08578317000111
12057;K.K. CINEMA E VIDEO LTDA. ME;05147291000169
1206;INFFINITO EVENTOS E PRODUÇÕES LTDA;04303816000145
1207;VIRNA SMITH PRODUÇÕES LTDA;04017006000122
1211;FLIP FILMES LTDA - ME;04866211000162
12127;13 PRODUÇÕES E LOCAÇÕES LTDA-ME;06013078000127
12136;OCA PRODUÇÕES GRÁFICAS E DESIGN LTDA.;08542531000118
12149;EDUARDO WANNMACHER;05726890000137
1216;KEN ONE FILMES E MULTIMÍDIA LTDA;72941370000134
12173;VIDEOBASE SERVIÇOS DE GRAVAÇÕES E EDIÇÕES LTDA - ME;08636517000183
12176;IN IT ARTEVISUAL;07989975000133
12182;LUIZ ANTONIO DA SILVA PRODUTOR DE FILMES E VIDEOS EPP;02058987000120
