CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300012100000;PERDIDOS NO MEIO DO NADA E OUTRAS HISTÓRIAS;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012200000;ILHA MISTERIOSA E OUTRAS HISTÓRIAS, A;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012300000;CHICO MICO E OUTRAS HISTÓRIAS;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012400000;VAMPIRO, O;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012500000;O ESTRANHO SORO DO DR. X E OUTRAS HISTÓRIAS;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012600000;FONTE DA JUVENTUDE E OUTRAS HISTÓRIAS, A;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012700000;ÓIA A ONÇA, E OTROS CAUSO;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300012800000;JÂNIO A 24 QUADROS;LUIZ ALBERTO MENDES PEREIRA;BRASIL
B0300012900000;EFEITO ILHA, O;LUIZ ALBERTO MENDES PEREIRA;BRASIL
B0300013800000;AO PONTO - INFORMAÇÃO DO JEITO QUE VOCÊ GOSTA;LÚCIA ARAÚJO;Não Informado
B0300013900000;POR TRÁS DO PANO;LUIZ FERNANDO VILLACA;BRASIL
B0300014000000;ISAURA;ALEX DE FARIAS FIGUEIREDO;BRASIL
B0300014500000;RETRATO, O;DANIEL MORENO SANTANNA;BRASIL
B0300014600000;TOQUE BAHIA;MÁRCIO MOTOKANE;Não Informado
B0300014700000;MUNDO CABE NUMA CADEIRA DE BARBEIRO, O;JOSE ROBERTO TORERO FERNANDES JUNIOR;BRASIL
B0300014900000;GAROTA DAS TELAS, A;CARLOS IMPERIO HAMBURGER;BRASIL
B0300015000000;MULHER DO ATIRADOR DE FACAS, A;VANESSA LEAL DOS SANTOS;BRASIL
B0300015100000;ALMA DO NEGÓCIO, A;JOSE ROBERTO TORERO FERNANDES JUNIOR;BRASIL
B0300015200000;AMOR!;JOSE ROBERTO TORERO FERNANDES JUNIOR;BRASIL
B0300015400000;RESTO É SILÊNCIO, O;PAULO SERGIO CRISTIAN HALM;BRASIL
B0300015600000;O CUPIDO TRAPALHÃO;ALEXANDRE GALVAO SUCUPIRA BOURY;BRASIL
B0300015600000;O CUPIDO TRAPALHÃO;PAULO ARAGAO NETO;BRASIL
B0300015700000;MANGUEIRA AMOR A PRIMEIRA VISTA;MARCO ANTONIO ALTBERG;BRASIL
B0300015800000;MANGUEIRA AMOR A PRIMEIRA VISTA;MARCO ALTBERG;Não Informado
B0300016000000;AMOR QUE FICA;MARCO ANTONIO ALTBERG;BRASIL
B0300016300000;BURNIN´LOVE - TOQUE BAHIA;MÁRCIO MOTOKANE;Não Informado
B0300016500000;SEXUALIDADES;MALU DE MARTINO;Não Informado
B0300016700000;CINEMA DE REPORTAGEM: A OBRA DE EDUARDO COUTINHO;DANIELA MUZI, DANIELA SANTORO, MARIA APARECIDA COSTA, MARIA EDUARDA MATTAR;Não Informado
B0300016800000;EROTIQUE;ANA MARIA PORTINHO MAGALHAES;BRASIL
B0300016800000;EROTIQUE;CLARA LAW;CHINA
B0300016800000;EROTIQUE;LIZZIE BORDEN;ESTADOS UNIDOS
B0300016800000;EROTIQUE;MONIKA TREUT;ALEMANHA
B0300016900000;UAKTI - OFICINA INSTRUMENTAL;RAFAEL CONDE DE RESENDE;BRASIL
B0300017000000;RUA DA AMARGURA;RAFAEL CONDE DE RESENDE;BRASIL
B0300017100000;EX-MÁGICO DA TABERNA MINHOTA, O;RAFAEL CONDE DE RESENDE;BRASIL
B0300017200000;HORA VAGABUNDA, A;RAFAEL CONDE DE RESENDE;BRASIL
B0300017300000;GLOBO CIÊNCIA 2001;LÚCIA ARAÚJO;Não Informado
B0300017399999;GLOBO CIÊNCIA 2001;LUCIA ARAUJO;Não Informado
B0300017500000;MORTE.;JOSE ROBERTO TORERO FERNANDES JUNIOR;BRASIL
B0300017600000;OFUSCA;FLAVIO COUTINHO DE SENNA FREDERICO;BRASIL
B0300017700000;PORMENORES;FLAVIO COUTINHO DE SENNA FREDERICO;BRASIL
B0300017800000;RISCO LUCIO COSTA E A UTOPIA MODERNA, O;GERALDO LIMA FRUCTUOSO DA MOTTA FILHO;BRASIL
B0300017900000;PASSAPORTE HÚNGARO;SANDRA KOGUT;Não Informado
B0300018000000;GLOBO ECOLOGIA 2002;CLÁUDIO CARVALHO SAVAGET;Não Informado
B0300018099999;GLOBO ECOLOGIA 2002;LUCIA ARAUJO;Não Informado
B0300018100000;GLOBO CIÊNCIA 2002;LÚCIA ARAÚJO;Não Informado
B0300018199999;GLOBO CIÊNCIA 2002;LUCIA ARAUJO;Não Informado
B0300018400000;MELODRAMA;JORGE ALBERTO MANSUR;BRASIL
B0300019000000;BRASIL?...SÓ RINDO!;EMILIANO RIBEIRO;Não Informado
B0300019100000;A ESTÓRIA DE VERA;SERGIO DE TOLEDO SEGALL;BRASIL
B0300019200000;AO SUL DO PARAÍSO;EDUARDO FELISTOQUE;BRASIL
B0300019300000;ROLÊ;TATIANA BARUEL, CAMILO CAVALCANTI, ANA ROSA MARQUES;Não Informado
B0300019500000;LISBELA E O PRISIONEIRO;MIGUEL ARRAES DE ALENCAR FILHO;BRASIL
B0300019600000;DILÚVIO CARIOCA;ESTEVAO CIAVATTA PANTOJA FRANCO;BRASIL
B0300020300000;ANIMANDO;MARCOS AMARANTE DE ALMEIDA MAGALHAES;BRASIL
B0300020400000;TEM BOI NO TRILHO;MARCOS AMARANTE DE ALMEIDA MAGALHAES;BRASIL
B0300020500000;MÃO-MÃE;MARCOS AMARANTE DE ALMEIDA MAGALHAES;BRASIL
B0300020600000;PRECIPITAÇÃO;MARCOS AMARANTE DE ALMEIDA MAGALHAES;BRASIL
B0300020700000;MEOW!;MARCOS AMARANTE DE ALMEIDA MAGALHAES;BRASIL
B0300020800000;DOM;MOACYR DE GOES FILHO;BRASIL
B0300020900000;BRANCO,O;ANGELA KALBERER PIRES;BRASIL
B0300020900000;BRANCO,O;LILIANA SULZBACH;BRASIL
B0300021000000;RITO DE ISMAEL IVO, O;ARI CANDIDO FERNANDES;BRASIL
B0300021100000;TOCADORES - HOMEM, TERRA, MÚSICA E CORDAS - BRASIL CENTRAL;LIA DIAS MARCHI;BRASIL
B0300021100000;TOCADORES - HOMEM, TERRA, MÚSICA E CORDAS - BRASIL CENTRAL;LUIZ MARIO STEIN MOREIRA;BRASIL
B0300021200000;TOCADORES - HOMEM, TERRA, MÚSICA E CORDAS - LITORAL SUL;LIA DIAS MARCHI;BRASIL
B0300021200000;TOCADORES - HOMEM, TERRA, MÚSICA E CORDAS - LITORAL SUL;LUIZ MARIO STEIN MOREIRA;BRASIL
B0300021500000;NOS QUE AQUI ESTAMOS POR VOS ESPERAMOS;MARCELO SA MOREIRA MASAGAO;BRASIL
